id,name,city,country,3code,4code,latitude,longitude,altitude,timezone,dst,dob
3364,Capital Intl,Beijing,China,PEK,ZBAA,40.080111,116.584556,116,8.0,U,658
6817,Hongyuan Airfield,Hongyuan,China,,\N,32.800428,102.534785,11500,8.0,N,0
3366,Dongshan,Hailar,China,HLD,ZBLA,49.204997,119.825,2169,8.0,U,32
3368,Binhai,Tianjin,China,TSN,ZBTJ,39.124353,117.346183,10,8.0,U,258
3369,Wusu,Taiyuan,China,TYN,ZBYN,37.746897,112.628428,2575,8.0,U,206
3370,Baiyun Intl,Guangzhou,China,CAN,ZGGG,23.392436,113.298786,50,8.0,U,486
3371,Huanghua,Changcha,China,CSX,ZGHA,28.189158,113.219633,217,8.0,U,335
3372,Liangjiang,Guilin,China,KWL,ZGKL,25.218106,110.039197,570,8.0,U,195
3373,Wuxu,Nanning,China,NNG,ZGNN,22.608267,108.172442,421,8.0,U,192
3374,Baoan Intl,Shenzhen,China,SZX,ZGSZ,22.639258,113.810664,13,8.0,U,421
3375,Xinzheng,Zhengzhou,China,CGO,ZHCC,34.519672,113.840889,495,8.0,U,318
3376,Tianhe,Wuhan,China,WUH,ZHHH,30.783758,114.2081,113,8.0,U,330
3378,Zhongchuan,Lanzhou,China,ZGC,ZLLL,36.515242,103.620775,6388,8.0,U,0
3379,Xianyang,Xi'an,China,XIY,ZLXY,34.447119,108.751592,1572,8.0,U,536
3381,Gasa,Jinghonggasa,China,,ZPJH,21.973914,100.759611,1815,8.0,U,0
3382,Wujiaba,Kunming,China,KMG,ZPPP,24.992364,102.743536,6217,8.0,U,480
3383,Gaoqi,Xiamen,China,XMN,ZSAM,24.544036,118.127739,59,8.0,U,382
3384,Changbei Intl,Nanchang,China,KHN,ZSCN,28.865,115.9,143,8.0,U,158
3385,Changle,Fuzhou,China,FOC,ZSFZ,25.935064,119.663272,46,8.0,U,210
3386,Xiaoshan,Hangzhou,China,HGH,ZSHC,30.229503,120.434453,23,8.0,U,428
3387,Lishe,Ninbo,China,NGB,ZSNB,29.826683,121.461906,13,8.0,U,134
3388,Lukou,Nanjing,China,NKG,ZSNJ,31.742042,118.862025,49,8.0,U,282
3389,Luogang,Hefei,China,HFE,ZSOF,31.780019,117.298436,108,8.0,U,137
3390,Liuting,Qingdao,China,TAO,ZSQD,36.266108,120.374436,33,8.0,U,309
3391,Hongqiao Intl,Shanghai,China,SHA,ZSSS,31.197875,121.336319,10,8.0,U,363
3392,Laishan,Yantai,China,YNT,ZSYT,37.401667,121.371667,59,8.0,U,94
3393,Jiangbei,Chongqing,China,CKG,ZUCK,29.719217,106.641678,1365,8.0,U,490
3394,Longdongbao,Guiyang,China,KWE,ZUGY,26.538522,106.800703,3736,8.0,U,264
3395,Shuangliu,Chengdu,China,CTU,ZUUU,30.578528,103.947086,1625,8.0,U,567
3396,Qingshan,Xichang,China,XIC,ZUXC,27.989083,102.184361,5112,8.0,U,10
3397,Kashi,Kashi,China,KHG,ZWSH,39.542922,76.019956,4529,8.0,U,26
3398,Hotan,Hotan,China,HTN,ZWTN,37.038522,79.864933,4672,8.0,U,12
3399,Diwopu,Urumqi,China,URC,ZWWW,43.907106,87.474244,2125,8.0,U,250
3400,Taiping,Harbin,China,HRB,ZYHB,45.623403,126.250328,457,8.0,U,227
3402,Hailang,Mudanjiang,China,,ZYMD,44.524072,129.568972,883,8.0,U,0
3404,Zhoushuizi,Dalian,China,DLC,ZYTL,38.965667,121.5386,107,8.0,U,241
3406,Pudong,Shanghai,China,PVG,ZSPD,31.143378,121.805214,13,8.0,U,400
4030,Phoenix International,Sanya,China,SYX,ZJSY,18.302897,109.412272,92,8.0,U,209
4033,Lijiang Airport,Lijiang,China,LJG,ZPLJ,26.883333,100.23333,7923,8.0,U,122
4054,Dali,Dali,China,DLU,ZPDL,25.649444,100.319444,6978,8.0,U,14
