sairport,sid,slat,slng,did,dlat,dlng
BHY,6351,21.539400,109.294000,3379,34.447119,108.751592
CAN,3370,23.392436,113.298786,3393,29.719217,106.641678
CAN,3370,23.392436,113.298786,3395,30.578528,103.947086
CGO,3375,34.519672,113.840889,4380,43.541200,125.120100
CGO,3375,34.519672,113.840889,3393,29.719217,106.641678
CGO,3375,34.519672,113.840889,3395,30.578528,103.947086
CGO,3375,34.519672,113.840889,3386,30.229503,120.434453
CGO,3375,34.519672,113.840889,3400,45.623403,126.250328
CGO,3375,34.519672,113.840889,3382,24.992364,102.743536
CGO,3375,34.519672,113.840889,3399,43.907106,87.474244
CGQ,4380,43.541200,125.120100,3375,34.519672,113.840889
CGQ,4380,43.541200,125.120100,3388,31.742042,118.862025
CGQ,4380,43.541200,125.120100,4108,36.857214,117.215992
CGQ,4380,43.541200,125.120100,3368,39.124353,117.346183
CKG,3393,29.719217,106.641678,3370,23.392436,113.298786
CKG,3393,29.719217,106.641678,3375,34.519672,113.840889
CKG,3393,29.719217,106.641678,3371,28.189158,113.219633
CKG,3393,29.719217,106.641678,3395,30.578528,103.947086
CKG,3393,29.719217,106.641678,4109,31.941667,119.711667
CKG,3393,29.719217,106.641678,3404,38.965667,121.538600
CKG,3393,29.719217,106.641678,6353,29.102800,110.443000
CKG,3393,29.719217,106.641678,4120,19.934856,110.458961
CKG,3393,29.719217,106.641678,3386,30.229503,120.434453
CKG,3393,29.719217,106.641678,4085,38.481944,106.009167
CKG,3393,29.719217,106.641678,3384,28.865000,115.900000
CKG,3393,29.719217,106.641678,3382,24.992364,102.743536
CKG,3393,29.719217,106.641678,6431,36.117000,103.617000
CKG,3393,29.719217,106.641678,4033,26.883333,100.233330
CKG,3393,29.719217,106.641678,4097,29.297778,90.911944
CKG,3393,29.719217,106.641678,3387,29.826683,121.461906
CKG,3393,29.719217,106.641678,3388,31.742042,118.862025
CKG,3393,29.719217,106.641678,3373,22.608267,108.172442
CKG,3393,29.719217,106.641678,3364,40.080111,116.584556
CKG,3393,29.719217,106.641678,3406,31.143378,121.805214
CKG,3393,29.719217,106.641678,6435,26.540000,101.799000
CKG,3393,29.719217,106.641678,4302,23.400000,116.683000
CKG,3393,29.719217,106.641678,4030,18.302897,109.412272
CKG,3393,29.719217,106.641678,3374,22.639258,113.810664
CKG,3393,29.719217,106.641678,4108,36.857214,117.215992
CKG,3393,29.719217,106.641678,3368,39.124353,117.346183
CKG,3393,29.719217,106.641678,3369,37.746897,112.628428
CKG,3393,29.719217,106.641678,3399,43.907106,87.474244
CKG,3393,29.719217,106.641678,3376,30.783758,114.208100
CKG,3393,29.719217,106.641678,6390,31.494400,120.429000
CKG,3393,29.719217,106.641678,3379,34.447119,108.751592
CKG,3393,29.719217,106.641678,6366,36.527500,102.043000
CKG,3393,29.719217,106.641678,6361,30.671000,111.441000
CKG,3393,29.719217,106.641678,6357,21.214400,110.358000
CSX,3371,28.189158,113.219633,3393,29.719217,106.641678
CSX,3371,28.189158,113.219633,3395,30.578528,103.947086
CSX,3371,28.189158,113.219633,3385,25.935064,119.663272
CSX,3371,28.189158,113.219633,3382,24.992364,102.743536
CSX,3371,28.189158,113.219633,4144,41.382400,123.290100
CSX,3371,28.189158,113.219633,6392,27.912200,120.852000
CSX,3371,28.189158,113.219633,3383,24.544036,118.127739
CTU,3395,30.578528,103.947086,3370,23.392436,113.298786
CTU,3395,30.578528,103.947086,3375,34.519672,113.840889
CTU,3395,30.578528,103.947086,3393,29.719217,106.641678
CTU,3395,30.578528,103.947086,3371,28.189158,113.219633
CTU,3395,30.578528,103.947086,9310,29.323100,100.053300
CTU,3395,30.578528,103.947086,6434,39.850000,110.033000
CTU,3395,30.578528,103.947086,4120,19.934856,110.458961
CTU,3395,30.578528,103.947086,8407,36.524000,114.430000
CTU,3395,30.578528,103.947086,6345,40.851422,111.824103
CTU,3395,30.578528,103.947086,3389,31.780019,117.298436
CTU,3395,30.578528,103.947086,3386,30.229503,120.434453
CTU,3395,30.578528,103.947086,4085,38.481944,106.009167
CTU,3395,30.578528,103.947086,4055,21.973914,100.759611
CTU,3395,30.578528,103.947086,8781,29.515000,108.830000
CTU,3395,30.578528,103.947086,4301,32.857000,103.683000
CTU,3395,30.578528,103.947086,3384,28.865000,115.900000
CTU,3395,30.578528,103.947086,3382,24.992364,102.743536
CTU,3395,30.578528,103.947086,6379,25.825800,114.912000
CTU,3395,30.578528,103.947086,3394,26.538522,106.800703
CTU,3395,30.578528,103.947086,6431,36.117000,103.617000
CTU,3395,30.578528,103.947086,4033,26.883333,100.233330
CTU,3395,30.578528,103.947086,6376,24.401100,98.531700
CTU,3395,30.578528,103.947086,4097,29.297778,90.911944
CTU,3395,30.578528,103.947086,6402,29.303300,94.335300
CTU,3395,30.578528,103.947086,3388,31.742042,118.862025
CTU,3395,30.578528,103.947086,3373,22.608267,108.172442
CTU,3395,30.578528,103.947086,3364,40.080111,116.584556
CTU,3395,30.578528,103.947086,3406,31.143378,121.805214
CTU,3395,30.578528,103.947086,6435,26.540000,101.799000
CTU,3395,30.578528,103.947086,4144,41.382400,123.290100
