id,name,language,text
-1,Northern Cyprus,[Turkish],[kitap]
-2,Kosovo,[Albanian/Serbian],[libër/књига]
-3,Somaliland,[],[]
4,Afghanistan,[Persian],[کتاب]
8,Albania,[Albanian],[libër]
10,Antarctica,[],[]
12,Algeria,[French/Arabic],[livre/كتاب]
16,American Samoa,[],[]
20,Andorra,[Catalan/Spanish],[llibre/libro]
24,Angola,[Portuguese],[reservar]
28,Antigua and Barbuda,[],[]
31,Azerbaijan,[Azerbaijani],[kitab]
32,Argentina,[Spanish],[libro]
36,Australia,[],[]
40,Austria,[German],[Buch]
44,Bahamas,[],[]
48,Bahrain,[Arabic],[كتاب]
50,Bangladesh,[Bengali],[বই]
51,Armenia,[Armenian],[գիրք]
52,Barbados,[],[]
56,Belgium,[French/German/Dutch],[livre/Buch/boek]
60,Bermuda,[],[]
64,Bhutan,[],[]
68,Bolivia/Plurinational State of,[],[]
70,Bosnia and Herzegovina,[Serbian/Croatian/Bosnian],[књига/rezervirati/knjiga]
72,Botswana,[],[]
74,Bouvet Island,[],[]
76,Brazil,[German/Portuguese],[Buch/reservar]
84,Belize,[Spanish],[libro]
86,British Indian Ocean Territory,[],[]
90,Solomon Islands,[],[]
92,Virgin Islands/British,[],[]
96,Brunei Darussalam,[],[]
100,Bulgaria,[Bulgarian],[Книга]
104,Myanmar,[],[]
108,Burundi,[French],[livre]
112,Belarus,[Russian/Belarusian],[книга/кніга]
116,Cambodia,[French/Khmer],[livre/សៀវភៅ]
120,Cameroon,[French],[livre]
124,Canada,[English/French],[book/livre]
132,Cape Verde,[],[]
136,Cayman Islands,[],[]
140,Central African Republic,[French],[livre]
144,Sri Lanka,[Sinhala],[පොත]
148,Chad,[French/Arabic],[livre/كتاب]
152,Chile,[Spanish],[libro]
156,China,[Chinese Simplified],[书]
158,Taiwan,[Chinese Traditional],[書]
162,Christmas Island,[],[]
166,Cocos Keeling Islands,[Malay],[buku]
170,Colombia,[Spanish],[libro]
174,Comoros,[French/Arabic/Swahili],[livre/كتاب/kitabu]
175,Mayotte,[French],[livre]
178,Congo,[French/Swahili],[livre/kitabu]
180,Congo/the Democratic Republic of the,[],[]
184,Cook Islands,[],[]
188,Costa Rica,[Spanish],[libro]
191,Croatia,[Croatian],[rezervirati]
192,Cuba,[Spanish],[libro]
196,Cyprus,[Greek/Turkish],[βιβλίο/kitap]
203,Czech Republic,[Slovak/Czech],[kniha/rezervovat]
204,Benin,[French],[livre]
208,Denmark,[Danish],[bog]
212,Dominica,[Spanish],[libro]
214,Dominican Republic,[Spanish],[libro]
218,Ecuador,[Spanish],[libro]
222,El Salvador,[Spanish],[libro]
226,Equatorial Guinea,[French/Portuguese/Spanish],[livre/reservar/libro]
231,Ethiopia,[],[]
232,Eritrea,[Arabic],[كتاب]
233,Estonia,[Estonian],[raamat]
234,Faroe Islands,[Danish],[bog]
238,Falkland Islands Malvinas,[],[]
239,South Georgia and the South Sandwich Islands,[],[]
242,Fiji,[],[]
246,Finland,[Finnish/Swedish],[kirja/boka]
248,Åland Islands,[],[]
250,France,[French],[livre]
254,French Guiana,[French],[livre]
258,French Polynesia,[French],[livre]
260,French Southern Territories,[],[]
262,Djibouti,[French/Arabic],[livre/كتاب]
266,Gabon,[French],[livre]
268,Georgia,[Georgian],[წიგნი]
270,Gambia,[],[]
275,Palestinian Territory/Occupied,[],[]
276,Germany,[German],[Buch]
288,Ghana,[],[]
292,Gibraltar,[Spanish],[libro]
296,Kiribati,[],[]
300,Greece,[Greek],[βιβλίο]
304,Greenland,[],[]
308,Grenada,[],[]
312,Guadeloupe,[French],[livre]
316,Guam,[],[]
320,Guatemala,[Spanish],[libro]
324,Guinea,[French/Portuguese/Spanish],[livre/reservar/libro]
328,Guyana,[],[]
332,Haiti,[French/Haitian Creole],[livre/liv]
334,Heard Island and McDonald Islands,[],[]
336,Holy See Vatican City State,[],[]
340,Honduras,[Spanish],[libro]
344,Hong Kong,[],[]
348,Hungary,[Hungarian],[könyv]
352,Iceland,[Icelandic],[bók]
356,India,[Nepali/Urdu/Portuguese],[पुस्तक/کتاب/reservar]
360,Indonesia,[Indonesian/Malay],[Book/buku]
364,Iran/Islamic Republic of,[],[]
368,Iraq,[Arabic],[كتاب]
372,Ireland,[Irish],[leabhar]
376,Israel,[Arabic/Hebrew],[كتاب/סֵפֶר]
380,Italy,[French/Italian/German],[livre/libro/Buch]
384,Côte d'Ivoire,[],[]
388,Jamaica,[],[]
392,Japan,[Japanese],[本]
398,Kazakhstan,[Russian/Kazakh],[книга/кітап]
400,Jordan,[Arabic],[كتاب]
404,Kenya,[Swahili],[kitabu]
408,Korea/Democratic People's Republic of,[],[]
410,Korea/Republic of,[],[]
414,Kuwait,[Arabic],[كتاب]
417,Kyrgyzstan,[Russian],[книга]
418,Lao People's Democratic Republic,[],[]
422,Lebanon,[French/Arabic],[livre/كتاب]
426,Lesotho,[Sesotho],[buka]
428,Latvia,[Latvian],[grāmata]
430,Liberia,[],[]
434,Libya,[Arabic],[كتاب]
438,Liechtenstein,[German],[Buch]
440,Lithuania,[Lithuanian],[knyga]
442,Luxembourg,[French/German],[livre/Buch]
446,Macao,[],[]
450,Madagascar,[French/Malagasy],[livre/boky]
454,Malawi,[Chichewa],[buku]
458,Malaysia,[Malay],[buku]
462,Maldives,[],[]
466,Mali,[French/Arabic],[livre/كتاب]
470,Malta,[Italian/Latin/Maltese],[libro/libro/ktieb]
474,Martinique,[French],[livre]
478,Mauritania,[French/Arabic],[livre/كتاب]
480,Mauritius,[French],[livre]
484,Mexico,[Spanish],[libro]
492,Monaco,[French],[livre]
496,Mongolia,[Mongolian],[ном]
498,Moldova/Republic of,[],[]
499,Montenegro,[],[]
500,Montserrat,[],[]
504,Morocco,[French/Arabic],[livre/كتاب]
508,Mozambique,[Portuguese],[reservar]
512,Oman,[Arabic],[كتاب]
516,Namibia,[],[]
520,Nauru,[],[]
524,Nepal,[Nepali],[पुस्तक]
528,Netherlands,[Dutch],[boek]
531,Curaçao,[Dutch],[boek]
533,Aruba,[Dutch],[boek]
534,Sint Maarten Dutch part,[],[]
535,Bonaire/Sint Eustatius and Saba,[],[]
540,New Caledonia,[French],[livre]
548,Vanuatu,[French],[livre]
554,New Zealand,[Maori],[pukapuka]
558,Nicaragua,[Spanish],[libro]
562,Niger,[French/Arabic/Igbo],[livre/كتاب/akwụkwọ]
566,Nigeria,[Yoruba/Igbo],[iwe/akwụkwọ]
570,Niue,[],[]
574,Norfolk Island,[],[]
578,Norway,[Norwegian],[bok]
580,Northern Mariana Islands,[],[]
581,United States Minor Outlying Islands,[],[]
583,Micronesia/Federated States of,[],[]
584,Marshall Islands,[],[]
585,Palau,[],[]
586,Pakistan,[Urdu/Punjabi],[کتاب]
591,Panama,[Spanish],[libro]
598,Papua New Guinea,[],[]
600,Paraguay,[Spanish],[libro]
604,Peru,[Spanish],[libro]
608,Philippines,[Filipino],[aklat]
612,Pitcairn,[],[]
616,Poland,[German/Polish/Belarusian],[Buch/książka/кніга]
620,Portugal,[Portuguese],[reservar]
624,Guinea-Bissau,[Portuguese],[reservar]
626,Timor-Leste,[],[]
630,Puerto Rico,[Spanish],[libro]
634,Qatar,[Arabic],[كتاب]
638,Réunion,[French],[livre]
642,Romania,[],[]
643,Russian Federation,[Russian],[книга]
646,Rwanda,[French],[livre]
652,Saint Barthélemy,[],[]
654,Saint Helena/Ascension and Tristan da Cunha,[],[]
659,Saint Kitts and Nevis,[],[]
660,Anguilla,[],[]
662,Saint Lucia,[],[]
663,Saint Martin French part,[],[]
666,Saint Pierre and Miquelon,[],[]
670,Saint Vincent and the Grenadines,[],[]
674,San Marino,[Italian],[libro]
678,Sao Tome and Principe,[],[]
682,Saudi Arabia,[Arabic],[كتاب]
686,Senegal,[French/Arabic],[livre/كتاب]
688,Serbia,[Serbian/Slovak/Hungarian],[књига/kniha/könyv]
690,Seychelles,[French],[livre]
694,Sierra Leone,[],[]
702,Singapore,[Malay],[buku]
703,Slovakia,[Slovak/Czech],[kniha/rezervovat]
704,Viet Nam,[],[]
705,Slovenia,[Slovenian],[knjige]
706,Somalia,[Arabic/Somali],[كتاب/buug]
710,South Africa,[Sesotho/Zulu/Afrikaans],[buka/ibhuku/boek]
716,Zimbabwe,[Sesotho/Chichewa],[buka/buku]
724,Spain,[Catalan/Spanish],[llibre/libro]
728,South Sudan,[Arabic],[كتاب]
729,Sudan,[Arabic],[كتاب]
732,Western Sahara,[],[]
740,Suriname,[Dutch],[boek]
744,Svalbard and Jan Mayen,[],[]
748,Swaziland,[],[]
752,Sweden,[Swedish],[boka]
756,Switzerland,[French/Italian/German],[livre/libro/Buch]
760,Syrian Arab Republic,[],[]
762,Tajikistan,[Tajik/Russian/Persian],[китоб/книга/کتاب]
764,Thailand,[Thai],[หนังสือ]
768,Togo,[French],[livre]
772,Tokelau,[],[]
776,Tonga,[],[]
780,Trinidad and Tobago,[],[]
784,United Arab Emirates,[Arabic],[كتاب]
788,Tunisia,[French/Arabic],[livre/كتاب]
792,Turkey,[Turkish],[kitap]
795,Turkmenistan,[],[]
796,Turks and Caicos Islands,[],[]
798,Tuvalu,[],[]
800,Uganda,[Swahili],[kitabu]
804,Ukraine,[Ukrainian],[книга]
807,Macedonia/the former Yugoslav Republic of,[],[]
818,Egypt,[Arabic],[كتاب]
826,United Kingdom,[],[]
831,Guernsey,[],[]
832,Jersey,[French],[livre]
833,Isle of Man,[],[]
834,Tanzania/United Republic of,[],[]
840,United States,[English/Spanish],[book/libro]
850,Virgin Islands/U.S.,[],[]
854,Burkina Faso,[French],[livre]
858,Uruguay,[Spanish],[libro]
860,Uzbekistan,[Uzbek],[kitob]
862,Venezuela/Bolivarian Republic of,[],[]
876,Wallis and Futuna,[French],[livre]
882,Samoa,[],[]
887,Yemen,[Arabic],[كتاب]
894,Zambia,[],[]
