,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
atl,@ dal,tor,@ lal,@ sac,@ den,orl,@ cha,nyk,phi,@ nyk,@ mia,det,@ det,bos,orl,@ hou,dal,@ was,@ sas,lac,cle,okc,was,@ nyk,lal,sac,uth,@ mia,@ cle,cha,@ orl,@ bos,gsw,@ chi,@ bkn,ind,hou,@ mem,bkn,mia,@ orl,sas,@ mil,@ okc,det,@ phi,min,ind,@ nor,mem,@ chi,@ tor,@ ind,was,@ det,nyk,chi,@ bos,@ pho,@ por,@ gsw,@ lac,@ uth,mil,den,@ cha,tor,nor,@ tor,pho,@ min,por,@ was,phi,chi,cle,@ ind,bos,@ bkn,mia,cha,@ mil
bkn,@ tor,mil,@ det,@ mem,uth,@ orl,@ mia,orl,cha,por,@ min,@ hou,@ sas,ind,@ atl,@ cha,mem,cle,@ mil,mil,den,@ nyk,@ bkn,lac,nyk,min,det,was,@ ind,cle,atl,@ chi,nor,@ okc,@ den,@ lac,@ gsw,@ por,hou,tor,lal,@ orl,@ mia,@ was,okc,bkn,@ nyk,phi,orl,@ phi,sac,dal,@ mil,sas,@ pho,@ lal,@ sac,@ uth,atl,ind,gsw,bkn,det,@ ind,nyk,pho,@ nor,@ dal,mia,@ bkn,tor,@ tor,chi,@ chi,@ was,phi,@ det,@ atl,cha,@ cle,@ phi,was
bos,@ cle,mia,@ orl,uth,@ was,ind,@ sac,@ pho,@ lac,por,@ cha,@ min,det,@ tor,lal,@ hou,@ mem,den,nyk,@ mil,bos,lac,@ det,phi,was,@ phi,ind,chi,mil,@ ind,@ sas,@ okc,cle,atl,gsw,mia,@ tor,@ atl,@ nyk,orl,dal,@ bos,tor,okc,@ ind,phi,sas,@ det,nor,cha,@ chi,@ uth,@ gsw,@ lal,@ por,@ den,@ mil,chi,mem,@ bos,sac,tor,@ mia,@ was,pho,cha,bos,@ dal,@ nor,@ cha,cle,min,hou,@ nyk,det,@ phi,@ mia,@ orl,atl,orl,nyk,@ cle
cha,@ hou,cle,@ nor,@ nyk,tor,nyk,atl,@ bos,@ cle,mia,@ chi,bkn,pho,@ mil,bos,ind,mil,@ mia,@ dal,phi,gsw,orl,@ ind,lal,sac,@ tor,@ det,uth,mil,okc,@ atl,@ uth,@ lac,@ por,@ sac,was,@ min,@ chi,nyk,@ phi,@ orl,mia,tor,lac,@ nyk,chi,@ den,@ lal,@ pho,@ gsw,sas,dal,@ bkn,@ det,det,nor,mem,@ sas,@ okc,@ mia,ind,cle,@ mem,den,@ was,min,@ mil,atl,@ bkn,por,hou,bkn,@ orl,was,@ phi,orl,@ cle,@ was,@ bos,phi,@ atl,chi
chi,@ mia,nyk,@ phi,@ ind,uth,cle,@ tor,ind,cha,@ den,@ por,@ lac,@ uth,@ det,@ cle,nor,mia,det,mil,@ nyk,@ mil,tor,orl,@ hou,@ okc,cle,@ bkn,dal,@ mem,tor,bos,atl,pho,@ mil,cha,was,@ orl,@ was,phi,lal,@ cle,lac,@ cha,min,@ sas,@ nor,@ sac,@ pho,@ gsw,@ lal,atl,bkn,@ tor,den,@ mia,@ atl,gsw,@ dal,nyk,@ bkn,@ det,mem,mia,sas,hou,sac,okc,@ phi,@ ind,phi,ind,por,@ bos,bos,@ atl,mil,@ was,@ min,det,@ nyk,orl,@ cha
cle,bkn,@ cha,@ ind,min,@ mil,@ phi,phi,@ chi,@ min,cha,@ was,was,@ nor,@ sas,mia,@ bos,chi,den,@ atl,lac,nyk,@ orl,@ mia,por,mil,@ chi,det,atl,@ bos,gsw,@ ind,orl,@ bkn,ind,phi,@ uth,@ sac,@ lal,@ por,@ den,dal,chi,mil,pho,nor,@ nyk,@ hou,@ dal,lal,@ was,mem,sac,@ det,@ phi,orl,@ tor,was,tor,@ okc,uth,@ mem,sas,@ cha,nyk,@ pho,@ gsw,@ lac,mia,okc,hou,@ nyk,tor,@ det,@ bkn,ind,@ orl,@ atl,cha,det,@ mil,bos,bkn
dal,atl,@ hou,mem,lal,@ okc,@ min,@ mil,was,@ mia,@ orl,phi,hou,uth,@ den,den,gsw,@ atl,min,cha,@ nor,@ por,@ sac,@ gsw,mil,mem,tor,@ pho,@ hou,sas,@ chi,@ min,@ was,lac,nyk,lal,@ sas,@ nor,nor,orl,@ lac,@ pho,por,@ cle,@ tor,@ bkn,det,hou,sac,cle,@ mem,uth,@ bos,@ cha,@ ind,mia,@ phi,@ det,@ nyk,nor,chi,@ sas,@ den,por,ind,@ gsw,@ uth,@ okc,bos,min,den,bkn,okc,lac,sac,gsw,@ lac,@ lal,@ sac,@ uth,sas,pho,@ mem
den,@ sac,por,sas,atl,@ pho,@ uth,lal,min,@ hou,@ okc,chi,dal,@ dal,@ min,nyk,@ tor,@ bkn,@ cle,@ bos,@ phi,@ was,uth,nor,okc,pho,@ lac,gsw,@ nor,@ mem,mia,phi,mem,@ lal,bos,okc,orl,@ uth,@ gsw,cle,@ pho,@ por,ind,@ sac,cha,tor,lac,mil,@ nyk,@ det,@ ind,@ min,pho,@ mil,@ chi,sac,por,bkn,@ por,min,dal,lal,@ nor,@ cha,@ orl,@ mia,@ atl,lac,det,@ dal,was,@ okc,@ sas,sas,mem,nor,@ mem,@ hou,hou,@ gsw,uth,@ lac,gsw
det,was,@ mem,bos,ind,okc,@ por,@ gsw,@ sac,@ lal,nyk,@ atl,atl,@ bkn,mil,chi,lal,phi,@ mia,@ mil,@ chi,mia,min,@ nor,bkn,por,@ ind,@ bos,cha,hou,@ cle,@ orl,@ was,was,mem,@ nyk,@ tor,@ phi,pho,uth,@ was,lac,@ mil,nor,@ dal,orl,@ atl,phi,@ mia,@ orl,bkn,den,sas,cle,cha,@ cha,atl,dal,gsw,@ sas,@ hou,nyk,chi,@ min,@ bos,sac,@ tor,ind,@ den,@ pho,@ lac,@ uth,cle,mia,@ phi,mil,@ ind,@ bkn,bos,@ cle,@ chi,tor,@ okc
gsw,lal,@ lac,sac,@ phi,@ min,@ sas,@ mem,det,okc,uth,@ uth,mem,@ lal,por,@ nor,@ dal,@ okc,@ sac,tor,@ hou,@ mem,@ cha,dal,hou,@ pho,nor,sas,lal,@ den,lac,pho,@ cle,@ orl,@ mia,@ atl,@ was,@ mil,@ bkn,bos,den,@ okc,@ nor,ind,min,por,was,lac,@ uth,cha,chi,@ pho,phi,mia,@ sac,hou,bkn,@ det,@ chi,@ nyk,@ tor,@ ind,@ bos,atl,pho,dal,@ lac,cle,@ por,orl,mil,sas,mem,nyk,@ dal,@ sas,sac,uth,den,@ lal,@ por,min,@ den
